Estacao;Data;Hora;Velocidade do Vento Media;
82598;01/01/2013;0000;5.433333;
82598;02/01/2013;0000;5.4;
82598;03/01/2013;0000;4.1;
82598;04/01/2013;0000;4.433333;
82598;05/01/2013;0000;4.966667;
82598;06/01/2013;0000;4.733333;
82598;07/01/2013;0000;4.4;
82598;08/01/2013;0000;5.233333;
82598;09/01/2013;0000;4.433333;
82598;10/01/2013;0000;4.7;
82598;11/01/2013;0000;5;
82598;12/01/2013;0000;5.533333;
82598;13/01/2013;0000;4.433333;
82598;14/01/2013;0000;4.866667;
82598;15/01/2013;0000;4.4;
82598;16/01/2013;0000;5.066667;
82598;17/01/2013;0000;4.133333;
82598;18/01/2013;0000;2.733333;
82598;19/01/2013;0000;4.133333;
82598;20/01/2013;0000;4.666667;
82598;21/01/2013;0000;3.666667;
82598;22/01/2013;0000;2.566667;
82598;23/01/2013;0000;3.4;
82598;24/01/2013;0000;3.866667;
82598;25/01/2013;0000;2.866667;
82598;26/01/2013;0000;3.3;
82598;27/01/2013;0000;2.4;
82598;28/01/2013;0000;3.9;
82598;29/01/2013;0000;3.866667;
82598;30/01/2013;0000;5.166667;
82598;31/01/2013;0000;4.9;
82598;01/02/2013;0000;5.4;
82598;02/02/2013;0000;3.733333;
82598;03/02/2013;0000;5.533333;
82598;04/02/2013;0000;4.233333;
82598;05/02/2013;0000;4.6;
82598;06/02/2013;0000;4.4;
82598;07/02/2013;0000;4.9;
82598;08/02/2013;0000;3.633333;
82598;09/02/2013;0000;6.4;
82598;10/02/2013;0000;5.533333;
82598;11/02/2013;0000;5.466667;
82598;12/02/2013;0000;5.666667;
82598;13/02/2013;0000;4.766667;
82598;14/02/2013;0000;4.8;
82598;15/02/2013;0000;4.7;
82598;16/02/2013;0000;3.566667;
82598;17/02/2013;0000;2.266667;
82598;18/02/2013;0000;4.533333;
82598;19/02/2013;0000;5.466667;
82598;20/02/2013;0000;2.866667;
82598;21/02/2013;0000;4.366667;
82598;22/02/2013;0000;3.566667;
82598;23/02/2013;0000;4.233333;
