Estacao;Data;Hora;VelocidadeVentoMedia;
82598;31/01/2013;0000;4.270968;
82598;28/02/2013;0000;4.586905;
82598;31/03/2013;0000;4.034409;
82598;30/04/2013;0000;3.272222;
82598;31/05/2013;0000;3.695699;
82598;30/06/2013;0000;3.283333;
82598;31/07/2013;0000;3.680645;
82598;31/08/2013;0000;4.256846;
82598;30/09/2013;0000;4.557778;
82598;31/10/2013;0000;4.67957;
82598;30/11/2013;0000;4.588889;
82598;31/12/2013;0000;3.969892;
82598;31/01/2014;0000;4.311828;
82598;28/02/2014;0000;4.002381;
82598;31/03/2014;0000;3.446237;
82598;30/04/2014;0000;3.241111;
82598;31/05/2014;0000;2.992473;
82598;30/06/2014;0000;3.514444;
82598;31/07/2014;0000;3.675269;
82598;31/08/2014;0000;4.016129;
82598;30/09/2014;0000;4.256667;
82598;31/10/2014;0000;4.875269;
82598;30/11/2014;0000;3.945556;
82598;31/12/2014;0000;3.96129;
82598;31/01/2015;0000;3.989247;
82598;28/02/2015;0000;3.640476;
82598;29/02/2016;0000;2.893243;
82598;31/03/2016;0000;2.640874;
82598;30/04/2016;0000;2.589348;
82598;31/05/2016;0000;2.187783;
82598;30/06/2016;0000;2.167584;
82598;31/07/2016;0000;2.837717;
82598;31/08/2016;0000;2.684035;
82598;30/09/2016;0000;3.1438;
82598;31/10/2016;0000;4.165305;
82598;30/11/2016;0000;2.930574;
82598;31/12/2016;0000;2.745544;
82598;31/01/2017;0000;2.119355;
82598;28/02/2017;0000;1.317857;
82598;31/03/2017;0000;0.630108;
82598;30/04/2017;0000;0.384444;
82598;31/05/2017;0000;0.87957;
82598;30/06/2017;0000;1.555556;
82598;31/07/2017;0000;2.646348;
82598;31/08/2017;0000;3.767028;
82598;30/09/2017;0000;4.732848;
82598;31/10/2017;0000;4.679745;
82598;30/11/2017;0000;4.36985;
82598;31/12/2017;0000;3.454097;
82598;31/01/2018;0000;3.523637;
82598;28/02/2018;0000;3.198205;
82598;31/03/2018;0000;2.832186;
82598;30/04/2018;0000;2.503608;
82598;31/05/2018;0000;2.747577;
82598;30/06/2018;0000;3.269552;
82598;31/07/2018;0000;4.104088;
